City,BHK,Location,Price (₹),Area (sqft),Property Type,Furnishing,Property Facing
Bangalore,3,"Sowparnika Sanvi, Whitefield, Bangalore",40000,1100 sqft,Flat,Furnished,North - West
Bangalore,3,"L&T Raintree Boulevard, Hebbal, Bangalore",60000,924 sqft,Flat,Semi-Furnished,East
Bangalore,3,"SS Residency, Kalkere, Bangalore",46000,1200 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Century Infiniti, Sarjapur Road, Bangalore",70000,1798 sqft,Flat,Unfurnished,
Bangalore,2,"Brigade Lakefront, Whitefield, Bangalore",85000,1400 sqft,Flat,Furnished,North
Bangalore,4,Nandi Hills Bangalore,3.5 Lac,5426 sqft,Villa,Semi-Furnished,East
Bangalore,2,"Doddathoguru, Electronic City, Bangalore",28400,1400 sqft,Flat,Semi-Furnished,East
Bangalore,3,Budigere Bangalore,90000,2360 sqft,Villa,Furnished,East
Bangalore,3,"Tata Promont, Block 1st Stage 3rd Banashankari, Bangalore",87600,2016 sqft,Flat,Semi-Furnished,West
Bangalore,4,"Prestige Waterford, Whitefield, Bangalore",1.2 Lac,1878 sqft,Flat,Semi-Furnished,South -West
Bangalore,4,Devanahalli Bangalore,2.3 Lac,686 sqft,Villa,Semi-Furnished,North - East
Bangalore,3,"Phoenix Kessaku, Rajajinagar, Bangalore",2.3 Lac,2678 sqft,Flat,Furnished,West
Bangalore,2,Basaveshwar Nagar Bangalore,38000,1650 sqft,House,Semi-Furnished,East
Bangalore,3,"Sumadhura Silver Ripples, Whitefield, Bangalore",65000,1650 sqft,Flat,Furnished,East
Bangalore,4,"Phoenix Kessaku, 2nd Block Rajajinagar, Bangalore",4.9 Lac,2837 sqft,Flat,Semi-Furnished,North
Bangalore,2,"Prestige Song of the South, Begur Road, Bangalore",55000,907 sqft,Flat,Furnished,West
Bangalore,2,"Supertech Micasa, Thanisandra, Bangalore",29999,850 sqft,Flat,Semi-Furnished,East
Bangalore,2,"Vizipa Optima, Radha Reddy Layout, Bangalore",50000,900 sqft,Flat,Furnished,South
Bangalore,3,"Sobha Classic, Haralur, Bangalore",67000,1400 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Sobha Royal Pavilion, Sarjapur Road, Bangalore",73000,1092 sqft,Flat,Furnished,East
